"Date","Price","Open","High","Low","Vol.","Change %"
"10/13/2020","437,700","442,000","442,000","437,700","8.14K","-0.97%"
"10/12/2020","442,000","425,400","442,000","425,400","22.00K","3.90%"
"10/11/2020","425,400","421,900","426,100","421,900","4.38K","0.83%"
"10/10/2020","421,900","416,800","421,900","416,800","9.75K","1.22%"
"10/09/2020","416,800","403,600","416,800","403,000","12.23K","3.27%"
"10/08/2020","403,600","397,900","403,600","397,100","9.00K","1.43%"
"10/07/2020","397,900","399,000","399,000","397,900","7.34K","-0.28%"
"10/06/2020","399,000","411,000","411,000","399,000","18.13K","-2.92%"
"10/05/2020","411,000","411,400","411,400","408,900","5.58K","-0.15%"
"10/04/2020","411,600","406,300","411,600","406,300","7.64K","1.30%"
"10/03/2020","406,300","406,600","407,900","406,300","4.45K","-0.07%"
"10/02/2020","406,600","413,700","413,700","406,600","8.13K","-1.72%"
"10/01/2020","413,700","418,400","426,100","413,700","24.36K","-1.12%"
"09/30/2020","418,400","418,000","418,400","414,300","8.03K","0.10%"
"09/29/2020","418,000","412,100","418,000","412,000","8.65K","1.43%"
"09/28/2020","412,100","415,000","415,000","412,100","14.11K","-0.70%"
"09/27/2020","415,000","411,900","417,000","411,900","8.82K","0.75%"
"09/26/2020","411,900","409,500","411,900","409,500","7.95K","0.59%"
"09/25/2020","409,500","406,400","409,500","406,400","17.04K","0.76%"
"09/24/2020","406,400","373,400","406,400","373,400","21.45K","8.78%"
"09/23/2020","373,600","403,400","403,400","373,600","33.70K","-7.39%"
"09/22/2020","403,400","400,600","403,400","399,000","8.24K","0.65%"
"09/21/2020","400,800","435,600","435,600","400,800","23.13K","-7.99%"
"09/20/2020","435,600","448,700","448,700","435,600","13.07K","-2.92%"
"09/19/2020","448,700","449,400","449,400","448,700","2.00K","-0.07%"
"09/18/2020","449,000","455,100","455,100","445,600","12.43K","-1.34%"
"09/17/2020","455,100","429,800","455,100","429,800","19.99K","5.89%"
"09/16/2020","429,800","432,500","432,500","429,600","13.00K","-0.62%"
"09/15/2020","432,500","446,100","446,100","432,500","14.93K","-3.05%"
"09/14/2020","446,100","438,800","446,100","438,800","19.63K","1.69%"
"09/13/2020","438,700","459,000","459,000","437,600","24.74K","-4.42%"
"09/12/2020","459,000","443,400","459,000","437,700","19.30K","3.52%"
"09/11/2020","443,400","438,600","443,400","438,600","14.35K","1.09%"
"09/10/2020","438,600","417,400","438,600","417,400","16.28K","5.08%"
"09/09/2020","417,400","404,000","417,400","404,000","22.46K","3.32%"
"09/08/2020","404,000","421,300","421,300","404,000","28.58K","-4.22%"
"09/07/2020","421,800","425,300","425,300","394,100","29.65K","-0.78%"
"09/06/2020","425,100","407,400","425,100","407,400","34.15K","4.34%"
"09/05/2020","407,400","465,400","468,500","407,400","115.36K","-12.48%"
"09/04/2020","465,500","462,000","465,500","462,000","46.49K","0.76%"
"09/03/2020","462,000","524,000","524,000","462,000","86.73K","-11.83%"
"09/02/2020","524,000","557,000","557,000","520,000","34.08K","-6.01%"
"09/01/2020","557,500","511,500","557,500","511,500","38.62K","8.99%"
"08/31/2020","511,500","500,500","511,500","496,200","18.94K","2.30%"
"08/30/2020","500,000","467,000","500,000","467,000","31.64K","7.11%"
"08/29/2020","466,800","463,700","470,800","463,700","14.61K","0.67%"
"08/28/2020","463,700","453,300","463,700","453,300","12.45K","2.29%"
"08/27/2020","453,300","455,600","455,600","453,300","18.38K","-0.50%"
"08/26/2020","455,600","455,900","458,100","455,600","13.51K","-0.07%"
"08/25/2020","455,900","480,100","480,100","455,900","24.15K","-5.12%"
"08/24/2020","480,500","462,600","480,500","462,600","13.61K","3.69%"
"08/23/2020","463,400","469,100","469,100","457,300","8.67K","-1.22%"
"08/22/2020","469,100","463,400","469,100","453,200","9.79K","1.23%"
"08/21/2020","463,400","489,400","489,400","463,400","22.62K","-5.31%"
"08/20/2020","489,400","481,000","489,400","481,000","16.66K","1.75%"
"08/19/2020","481,000","494,500","494,500","481,000","19.40K","-2.71%"
"08/18/2020","494,400","497,400","499,100","494,400","15.85K","-0.60%"
"08/17/2020","497,400","506,500","506,500","497,400","22.40K","-1.80%"
"08/16/2020","506,500","506,000","506,500","494,800","15.80K","0.10%"
"08/15/2020","506,000","515,000","515,000","506,000","11.25K","-1.75%"
"08/14/2020","515,000","497,700","515,000","497,700","32.64K","3.48%"
"08/13/2020","497,700","457,700","497,700","452,000","59.43K","8.81%"
"08/12/2020","457,400","452,800","457,400","452,500","18.04K","1.02%"
"08/11/2020","452,800","466,000","466,000","452,800","32.54K","-2.83%"
"08/10/2020","466,000","461,600","466,500","461,600","12.39K","0.95%"
"08/09/2020","461,600","467,600","468,800","461,600","12.87K","-1.28%"
"08/08/2020","467,600","450,300","467,600","450,300","14.08K","3.84%"
"08/07/2020","450,300","465,400","466,900","450,300","37.88K","-3.22%"
"08/06/2020","465,300","472,500","472,500","465,300","24.04K","-1.52%"
"08/05/2020","472,500","463,200","472,500","463,200","24.84K","2.01%"
"08/04/2020","463,200","455,900","465,500","455,900","12.98K","1.60%"
"08/03/2020","455,900","438,100","455,900","438,100","35.82K","4.06%"
"08/02/2020","438,100","457,000","457,000","438,100","42.09K","-4.14%"
"08/01/2020","457,000","410,000","457,000","410,000","56.83K","11.44%"
"07/31/2020","410,100","394,700","410,100","394,700","28.68K","3.90%"
"07/30/2020","394,700","375,400","394,700","375,400","40.85K","5.06%"
