"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 11- 06","46,790,000","47,036,000","47,190,000","46,434,000","1.36K","-0.54%"
"2023- 11- 05","47,043,000","47,039,000","47,500,000","46,650,000","1.41K","0.01%"
"2023- 11- 04","47,040,000","46,642,000","47,209,000","46,500,000","1.44K","0.85%"
"2023- 11- 03","46,642,000","47,504,000","47,505,000","46,220,000","1.28K","-1.81%"
"2023- 11- 02","47,504,000","48,074,000","48,633,000","46,734,000","1.95K","-1.17%"
"2023- 11- 01","48,068,000","47,027,000","48,139,000","46,714,000","2.51K","2.19%"
"2023- 10- 31","47,038,000","46,728,000","47,047,000","46,335,000","1.80K","0.68%"
"2023- 10- 30","46,719,000","46,827,000","47,121,000","46,400,000","1.74K","-0.22%"
"2023- 10- 29","46,821,000","46,355,000","47,028,000","46,262,000","1.71K","1.01%"
"2023- 10- 28","46,355,000","45,996,000","46,693,000","45,986,000","0.76K","0.79%"
"2023- 10- 27","45,992,000","46,170,000","46,213,000","45,438,000","1.43K","-0.38%"
"2023- 10- 26","46,166,000","46,490,000","47,049,000","45,649,000","1.78K","-0.70%"
"2023- 10- 25","46,490,000","45,616,000","47,331,000","45,600,000","1.94K","1.93%"
"2023- 10- 24","45,608,000","44,191,000","47,362,000","43,880,000","2.29K","3.20%"
"2023- 10- 23","44,192,000","40,353,000","45,032,000","40,298,000","3.73K","9.51%"
"2023- 10- 22","40,356,000","40,391,000","40,702,000","40,154,000","0.33K","-0.09%"
"2023- 10- 21","40,391,000","40,242,000","40,758,000","39,946,000","0.78K","0.39%"
"2023- 10- 20","40,235,000","38,909,000","40,703,000","38,773,000","0.49K","3.38%"
"2023- 10- 19","38,918,000","38,694,000","39,126,000","38,523,000","2.52K","0.57%"
"2023- 10- 18","38,697,000","38,669,000","39,306,000","38,468,000","1.55K","0.09%"
"2023- 10- 17","38,663,000","38,702,000","38,955,000","38,180,000","1.77K","-0.10%"
"2023- 10- 16","38,702,000","37,100,000","40,489,000","37,003,000","1.82K","4.32%"
